PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=48.3 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=23.8 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=58.8 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=36.9 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=38.9 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=66.0 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=45.0 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=31.9 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=57.6 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=39.9 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=26.9 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=46.0 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=36.6 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=22.3 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=52.3 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=25.0 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=25.1 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=60.2 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=72.5 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=54.6 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=38.0 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=38.4 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=33.2 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=41.2 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=41.4 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=47.8 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=45.0 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=36.6 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=84.1 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=57.3 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=66.8 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=69.9 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=51.7 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=43.1 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=22.2 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=37.6 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=37.3 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=26.3 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=38.2 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=68.3 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=43.2 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=39.8 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=28.2 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=57.5 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=53.9 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=41.1 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=44.2 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=38.6 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=50.5 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=36.9 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=49.1 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=42.6 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=36.0 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=37.8 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=64.6 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=43.6 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=34.6 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=31.9 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=37.7 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=42.2 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=41.3 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=42.8 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=59.1 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=45.3 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=42.4 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=87.4 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=73.4 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=43.0 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=56.3 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=36.1 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=61.0 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=46.9 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=68.7 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=82.1 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=0.446 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=0.411 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=0.414 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=0.925 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=1.22 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=0.364 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=0.451 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=0.533 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=0.522 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=0.815 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=0.441 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=0.419 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=0.364 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=0.474 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=0.438 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=0.424 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=0.317 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=0.323 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=0.417 ms
